destination_id,destination_name,senior_friendly,wheelchair_accessible,walking_difficulty,stairs_present,accessible_toilets,seating_available,parking_available,accessible_transport,accessibility_notes,accessibility_source,accessibility_source_url,accessibility_year,accessibility_confidence
BV-ASI-0064,Group of Monuments (WH) Pattadakal,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0065,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0066,"Group of Temples at kiramchi, District Udhampur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0067,"Gupta Temple & Varah Temple, Deogarh",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0068,Gwalior Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0069,Hauzkhas,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0070,Hazarduari Palace,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0071,Hoshang Shah's Tomb,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0072,Humayun Tomb,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0073,"Ibrahim Rauza, Bijapur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0074,Itimad-ud-Daulah-Tomb,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0075,"Jaina & Vaishnava Cave, Badami",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0076,"Janjira Fort, Murd",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0077,Jantar Mantar,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0078,Kalinjar Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0079,"Kareghar of Ahom Kings, Sibasagar",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0080,Keshava Temple,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0081,Khan-I-Khana,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0082,"Kolaba Fort, Alibag",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0083,Kondiote Caves,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0084,Kotla Feroz Shah,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0085,Kumbhalgarh Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0086,Lohgad Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0087,Lord Cornwallis Tomb,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0088,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0089,Mariam tomb Sikandra,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0090,mattancherry Palace Museum Kochi,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0091,Mausoleum,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0092,Mehtab Bagh,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0093,Metcelf-Hall,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0094,"Moovarkoil, Kodumbalur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0095,Nagarjuna Kunda,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0096,"Natural Caven with inscription eladipattam, Sittannavasal",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0097,Observatory of Man Singh,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0098,"Old Fort (Shahi Fort), Jaunpur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0099,"Old Fort, Sholapur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0100,"Palace Complex at Ramnagar, Distt. Udhampur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0101,Palace of Tipu Sultan,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
