circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank,tourism_hiddenness_score,unesco_match,unesco_match_flag,unesco_significance_score,asi_protection_score,visitor_trend_score,hidden_heritage_score_v2,hidden_heritage_rank,heritage_signal,recommendation_reason,ml_hidden_heritage_prediction,ml_rank,asi_name,matched_poi_name,match_type,match_confidence,latitude,longitude,poi_characteristics,poi_source,has_geo_match,high_confidence_geo_match
Lucknow,Piprahwa & Ganwaria,38342,3098,12062,3,-68.54,-99.9,41440,12065,-70.88561776061776,61.76,available,37,61.76,,0,0.0,100.0,60.0,51.97,51,ASI protected,High heritage protection with comparatively low visitor demand,52.03,51,Piprahwa & Ganwaria,,unmatched,0.0,,,,,False,False
Mumbai,Kondiote Caves,41490,591,167,0,-99.6,-100.0,42081,167,-99.60314631306292,61.63,available,38,61.63,,0,0.0,100.0,60.0,51.9,52,ASI protected,High heritage protection with comparatively low visitor demand,51.93,52,Kondiote Caves,,unmatched,0.0,,,,,False,False
Nagpur,Gawilgarh Fort,43795,11,5,0,-99.99,-100.0,43806,5,-99.98858603844222,61.27,available,39,61.27,,0,0.0,100.0,60.0,51.7,53,ASI protected,High heritage protection with comparatively low visitor demand,51.54,54,Gawilgarh Fort,,unmatched,0.0,,,,,False,False
Guwahati,Ahom Raja's Palace,44700,175,25443,69,-43.08,-60.57,44875,25512,-43.14874651810585,61.06,available,41,61.06,,0,0.0,100.0,60.0,51.58,54,ASI protected,High heritage protection with comparatively low visitor demand,51.32,56,Ahom Raja's Palace,,unmatched,0.0,,,,,False,False
Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,44573,389,18359,8,-58.81,-97.94,44962,18367,-59.14994884569191,61.05,available,42,61.05,,0,0.0,100.0,60.0,51.58,55,ASI protected,High heritage protection with comparatively low visitor demand,51.29,57,Ruins of Buddhist Temples and Images lalitgiri,,unmatched,0.0,,,,,False,False
Bhopal,"The palace situated in the fort, Burhanpur",47305,272,13926,27,-70.56,-90.07,47577,13953,-70.67280408600794,60.55,available,43,60.55,,0,0.0,100.0,60.0,51.3,56,ASI protected,High heritage protection with comparatively low visitor demand,51.29,57,"The palace situated in the fort, Burhanpur",,unmatched,0.0,,,,,False,False
Bhopal,Caves 1 t0 20 Udaygiri Vidisha,53546,741,11601,10,-78.33,-98.65,54287,11611,-78.61182235157588,59.39,available,44,59.39,,0,0.0,100.0,60.0,50.66,57,ASI protected,High heritage protection with comparatively low visitor demand,51.01,59,Caves 1 t0 20 Udaygiri Vidisha,,unmatched,0.0,,,,,False,False
Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",43733,1063,58206,868,33.09,-18.34,44796,59074,31.87338155192428,61.08,available,40,61.08,,0,0.0,100.0,40.0,50.59,58,ASI protected,High heritage protection with comparatively low visitor demand,51.61,53,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",,unmatched,0.0,,,,,False,False
Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",57408,42,23598,13,-58.89,-69.05,57450,23611,-58.90165361183638,58.89,available,45,58.89,,0,0.0,100.0,60.0,50.39,59,ASI protected,High heritage protection with comparatively low visitor demand,51.4,55,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",,unmatched,0.0,,,,,False,False
Mumbai,"Old Fort, Sholapur",62238,45,11293,1,-81.86,-97.78,62283,11294,-81.86664097747379,58.18,available,48,58.18,,0,0.0,100.0,60.0,50.0,60,ASI protected,High heritage protection with comparatively low visitor demand,50.26,60,"Old Fort, Sholapur",,unmatched,0.0,,,,,False,False
